,ID,FULL_NAME,FIRST_NAME,LAST_NAME,ACTIVE,IMAGE_LINK
284,203087,Jeremy Lamb,Jeremy,Lamb,True,https://cdn.nba.com/headshots/nba/latest/1040x760/203087.png
285,1631110,Jeremy Sochan,Jeremy,Sochan,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1631110.png
286,1630579,Jericho Sims,Jericho,Sims,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1630579.png
287,1631257,Jermaine Samuels Jr.,Jermaine,Samuels Jr.,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1631257.png
288,1629010,Jerome Robinson,Jerome,Robinson,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1629010.png
289,1641724,Jett Howard,Jett,Howard,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1641724.png
290,1628975,Jevon Carter,Jevon,Carter,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1628975.png
291,202710,Jimmy Butler,Jimmy,Butler,True,https://cdn.nba.com/headshots/nba/latest/1040x760/202710.png
292,1629111,Jock Landale,Jock,Landale,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1629111.png
293,203925,Joe Harris,Joe,Harris,True,https://cdn.nba.com/headshots/nba/latest/1040x760/203925.png
294,204060,Joe Ingles,Joe,Ingles,True,https://cdn.nba.com/headshots/nba/latest/1040x760/204060.png
295,1630580,Joe Wieskamp,Joe,Wieskamp,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1630580.png
296,203954,Joel Embiid,Joel,Embiid,True,https://cdn.nba.com/headshots/nba/latest/1040x760/203954.png
297,1641792,Joey Hauser,Joey,Hauser,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1641792.png
298,1631219,John Butler Jr.,John,Butler Jr.,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1631219.png
299,1628381,John Collins,John,Collins,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1628381.png
300,1629723,John Konchar,John,Konchar,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1629723.png
301,1631098,Johnny Davis,Johnny,Davis,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1631098.png
302,1630548,Johnny Juzang,Johnny,Juzang,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1630548.png
303,202685,Jonas Valanciunas,Jonas,Valanciunas,True,https://cdn.nba.com/headshots/nba/latest/1040x760/202685.png
304,1628371,Jonathan Isaac,Jonathan,Isaac,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1628371.png
305,1630228,Jonathan Kuminga,Jonathan,Kuminga,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1630228.png
306,1629007,Jontay Porter,Jontay,Porter,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1629007.png
307,203903,Jordan Clarkson,Jordan,Clarkson,True,https://cdn.nba.com/headshots/nba/latest/1040x760/203903.png
308,1630259,Jordan Ford,Jordan,Ford,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1630259.png
309,1630692,Jordan Goodwin,Jordan,Goodwin,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1630692.png
310,1641722,Jordan Hawkins,Jordan,Hawkins,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1641722.png
311,1629162,Jordan McLaughlin,Jordan,McLaughlin,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1629162.png
312,1641757,Jordan Miller,Jordan,Miller,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1641757.png
313,1629670,Jordan Nwora,Jordan,Nwora,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1629670.png
314,1629673,Jordan Poole,Jordan,Poole,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1629673.png
315,1641948,Jordan Walker,Jordan,Walker,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1641948.png
316,1641775,Jordan Walsh,Jordan,Walsh,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1641775.png
317,1630631,Jose Alvarado,Jose,Alvarado,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1630631.png
318,1630581,Josh Giddey,Josh,Giddey,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1630581.png
319,1630182,Josh Green,Josh,Green,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1630182.png
320,1628404,Josh Hart,Josh,Hart,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1628404.png
321,1631169,Josh Minott,Josh,Minott,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1631169.png
322,1629006,Josh Okogie,Josh,Okogie,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1629006.png
323,1626196,Josh Richardson,Josh,Richardson,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1626196.png
324,1630563,Joshua Primo,Joshua,Primo,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1630563.png
325,201950,Jrue Holiday,Jrue,Holiday,True,https://cdn.nba.com/headshots/nba/latest/1040x760/201950.png
326,1631262,Jules Bernard,Jules,Bernard,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1631262.png
327,1630577,Julian Champagnie,Julian,Champagnie,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1630577.png
328,1641763,Julian Phillips,Julian,Phillips,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1641763.png
329,1631124,Julian Strawther,Julian,Strawther,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1631124.png
330,203944,Julius Randle,Julius,Randle,True,https://cdn.nba.com/headshots/nba/latest/1040x760/203944.png
331,1630551,Justin Champagnie,Justin,Champagnie,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1630551.png
332,203200,Justin Holiday,Justin,Holiday,True,https://cdn.nba.com/headshots/nba/latest/1040x760/203200.png
333,1631171,Justin Lewis,Justin,Lewis,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1631171.png
334,1631303,Justin Minaya,Justin,Minaya,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1631303.png
335,1641920,Justin Powell,Justin,Powell,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1641920.png
336,203994,Jusuf Nurkic,Jusuf,Nurkic,True,https://cdn.nba.com/headshots/nba/latest/1040x760/203994.png
337,1630539,Kai Jones,Kai,Jones,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1630539.png
338,1629232,Kaiser Gates,Kaiser,Gates,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1629232.png
339,1626157,Karl-Anthony Towns,Karl-Anthony,Towns,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1626157.png
340,202695,Kawhi Leonard,Kawhi,Leonard,True,https://cdn.nba.com/headshots/nba/latest/1040x760/202695.png
341,1630811,Keaton Wallace,Keaton,Wallace,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1630811.png
342,1631099,Keegan Murray,Keegan,Murray,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1631099.png
343,1628966,Keita Bates-Diop,Keita,Bates-Diop,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1628966.png
344,1629640,Keldon Johnson,Keldon,Johnson,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1629640.png
345,203482,Kelly Olynyk,Kelly,Olynyk,True,https://cdn.nba.com/headshots/nba/latest/1040x760/203482.png
346,1626162,Kelly Oubre Jr.,Kelly,Oubre Jr.,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1626162.png
347,1631112,Kendall Brown,Kendall,Brown,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1631112.png
348,1630660,Kendric Davis,Kendric,Davis,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1630660.png
349,1631254,Kenneth Lofton Jr.,Kenneth,Lofton Jr.,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1631254.png
350,1629026,Kenrich Williams,Kenrich,Williams,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1629026.png
351,203484,Kentavious Caldwell-Pope,Kentavious,Caldwell-Pope,True,https://cdn.nba.com/headshots/nba/latest/1040x760/203484.png
352,1630231,Kenyon Martin Jr.,Kenyon,Martin Jr.,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1630231.png
353,1631165,Keon Ellis,Keon,Ellis,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1631165.png
354,1630553,Keon Johnson,Keon,Johnson,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1630553.png
355,1630556,Kessler Edwards,Kessler,Edwards,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1630556.png
356,201142,Kevin Durant,Kevin,Durant,True,https://cdn.nba.com/headshots/nba/latest/1040x760/201142.png
357,1628989,Kevin Huerter,Kevin,Huerter,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1628989.png
358,1628995,Kevin Knox II,Kevin,Knox II,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1628995.png
359,201567,Kevin Love,Kevin,Love,True,https://cdn.nba.com/headshots/nba/latest/1040x760/201567.png
360,1629645,Kevin Porter Jr.,Kevin,Porter Jr.,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1629645.png
361,1630284,Kevon Harris,Kevon,Harris,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1630284.png
362,1626172,Kevon Looney,Kevon,Looney,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1626172.png
363,1641749,Keyontae Johnson,Keyontae,Johnson,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1641749.png
364,1641718,Keyonte George,Keyonte,George,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1641718.png
365,203920,Khem Birch,Khem,Birch,True,https://cdn.nba.com/headshots/nba/latest/1040x760/203920.png
366,203114,Khris Middleton,Khris,Middleton,True,https://cdn.nba.com/headshots/nba/latest/1040x760/203114.png
367,1630165,Killian Hayes,Killian,Hayes,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1630165.png
368,1630184,Kira Lewis Jr.,Kira,Lewis Jr.,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1630184.png
369,202691,Klay Thompson,Klay,Thompson,True,https://cdn.nba.com/headshots/nba/latest/1040x760/202691.png
370,1641738,Kobe Brown,Kobe,Brown,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1641738.png
371,1641723,Kobe Bufkin,Kobe,Bufkin,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1641723.png
372,1627739,Kris Dunn,Kris,Dunn,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1627739.png
373,1631200,Kris Murray,Kris,Murray,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1631200.png
374,204001,Kristaps Porzingis,Kristaps,Porzingis,True,https://cdn.nba.com/headshots/nba/latest/1040x760/204001.png
375,203937,Kyle Anderson,Kyle,Anderson,True,https://cdn.nba.com/headshots/nba/latest/1040x760/203937.png
376,1628398,Kyle Kuzma,Kyle,Kuzma,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1628398.png
377,200768,Kyle Lowry,Kyle,Lowry,True,https://cdn.nba.com/headshots/nba/latest/1040x760/200768.png
378,1630283,Kylor Kelley,Kylor,Kelley,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1630283.png
379,202681,Kyrie Irving,Kyrie,Irving,True,https://cdn.nba.com/headshots/nba/latest/1040x760/202681.png
380,1630163,LaMelo Ball,LaMelo,Ball,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1630163.png
381,1630205,Lamar Stevens,Lamar,Stevens,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1630205.png
382,1641805,Landers Nolley II,Landers,Nolley II,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1641805.png
383,1629013,Landry Shamet,Landry,Shamet,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1629013.png
384,1626204,Larry Nance Jr.,Larry,Nance Jr.,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1626204.png
385,1628374,Lauri Markkanen,Lauri,Markkanen,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1628374.png
