,ID,FIRST_NAME,LAST_NAME,FULL_NAME,ACTIVE,IMAGE_URL
2769,77472,Martin,Fernando,Fernando Martin,False,https://cdn.nba.com/headshots/nba/latest/1040x760/77472.png
2770,1626185,Martin,Jarell,Jarell Martin,False,https://cdn.nba.com/headshots/nba/latest/1040x760/1626185.png
2771,1641798,Martin,Jaylen,Jaylen Martin,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1641798.png
2772,77474,Martin,Jeff,Jeff Martin,False,https://cdn.nba.com/headshots/nba/latest/1040x760/77474.png
2773,1629725,Martin,Jeremiah,Jeremiah Martin,False,https://cdn.nba.com/headshots/nba/latest/1040x760/1629725.png
2774,1629103,Martin,Kelan,Kelan Martin,False,https://cdn.nba.com/headshots/nba/latest/1040x760/1629103.png
2775,2030,Martin,Kenyon,Kenyon Martin,False,https://cdn.nba.com/headshots/nba/latest/1040x760/2030.png
2776,2755,Martin,Kevin,Kevin Martin,False,https://cdn.nba.com/headshots/nba/latest/1040x760/2755.png
2777,77475,Martin,Larue,Larue Martin,False,https://cdn.nba.com/headshots/nba/latest/1040x760/77475.png
2778,77476,Martin,Mo,Mo Martin,False,https://cdn.nba.com/headshots/nba/latest/1040x760/77476.png
2779,77477,Martin,Phil,Phil Martin,False,https://cdn.nba.com/headshots/nba/latest/1040x760/77477.png
2780,77479,Martin,Ronald,Ronald Martin,False,https://cdn.nba.com/headshots/nba/latest/1040x760/77479.png
2781,77480,Martin,Slater,Slater Martin,False,https://cdn.nba.com/headshots/nba/latest/1040x760/77480.png
2782,1631213,Martin,Tyrese,Tyrese Martin,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1631213.png
2783,1630231,Martin Jr.,Kenyon,Kenyon Martin Jr.,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1630231.png
2784,469,Mashburn,Jamal,Jamal Mashburn,False,https://cdn.nba.com/headshots/nba/latest/1040x760/469.png
2785,77482,Masino,Al,Al Masino,False,https://cdn.nba.com/headshots/nba/latest/1040x760/77482.png
2786,193,Mason,Anthony,Anthony Mason,False,https://cdn.nba.com/headshots/nba/latest/1040x760/193.png
2787,2046,Mason,Desmond,Desmond Mason,False,https://cdn.nba.com/headshots/nba/latest/1040x760/2046.png
2788,1628412,Mason III,Frank,Frank Mason III,False,https://cdn.nba.com/headshots/nba/latest/1040x760/1628412.png
2789,2427,Mason Jr.,Roger,Roger Mason Jr.,False,https://cdn.nba.com/headshots/nba/latest/1040x760/2427.png
2790,763,Massenburg,Tony,Tony Massenburg,False,https://cdn.nba.com/headshots/nba/latest/1040x760/763.png
2791,77483,Mast,Eddie,Eddie Mast,False,https://cdn.nba.com/headshots/nba/latest/1040x760/77483.png
2792,1628999,Maten,Yante,Yante Maten,False,https://cdn.nba.com/headshots/nba/latest/1040x760/1628999.png
2793,1629726,Mathews,Garrison,Garrison Mathews,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1629726.png
2794,1628493,Mathiang,Mangok,Mangok Mathiang,False,https://cdn.nba.com/headshots/nba/latest/1040x760/1628493.png
2795,1629751,Mathias,Dakota,Dakota Mathias,False,https://cdn.nba.com/headshots/nba/latest/1040x760/1629751.png
2796,1631097,Mathurin,Bennedict,Bennedict Mathurin,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1631097.png
2797,77484,Matthews,Wes,Wes Matthews,False,https://cdn.nba.com/headshots/nba/latest/1040x760/77484.png
2798,202083,Matthews,Wesley,Wesley Matthews,True,https://cdn.nba.com/headshots/nba/latest/1040x760/202083.png
2799,77485,Maughan,Ariel,Ariel Maughan,False,https://cdn.nba.com/headshots/nba/latest/1040x760/77485.png
2800,77486,Maxey,Marlon,Marlon Maxey,False,https://cdn.nba.com/headshots/nba/latest/1040x760/77486.png
2801,1630178,Maxey,Tyrese,Tyrese Maxey,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1630178.png
2802,101131,Maxiell,Jason,Jason Maxiell,False,https://cdn.nba.com/headshots/nba/latest/1040x760/101131.png
2803,77487,Maxwell,Cedric,Cedric Maxwell,False,https://cdn.nba.com/headshots/nba/latest/1040x760/77487.png
2804,137,Maxwell,Vernon,Vernon Maxwell,False,https://cdn.nba.com/headshots/nba/latest/1040x760/137.png
2805,77489,May,Don,Don May,False,https://cdn.nba.com/headshots/nba/latest/1040x760/77489.png
2806,77490,May,Scott,Scott May,False,https://cdn.nba.com/headshots/nba/latest/1040x760/77490.png
2807,101118,May,Sean,Sean May,False,https://cdn.nba.com/headshots/nba/latest/1040x760/101118.png
2808,195,Mayberry,Lee,Lee Mayberry,False,https://cdn.nba.com/headshots/nba/latest/1040x760/195.png
2809,1630571,Mayer,Matthew,Matthew Mayer,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1630571.png
2810,77492,Mayes,Clyde,Clyde Mayes,False,https://cdn.nba.com/headshots/nba/latest/1040x760/77492.png
2811,77493,Mayes,Tharon,Tharon Mayes,False,https://cdn.nba.com/headshots/nba/latest/1040x760/77493.png
2812,77495,Mayfield,Bill,Bill Mayfield,False,https://cdn.nba.com/headshots/nba/latest/1040x760/77495.png
2813,77494,Mayfield,Ken,Ken Mayfield,False,https://cdn.nba.com/headshots/nba/latest/1040x760/77494.png
2814,201953,Maynor,Eric,Eric Maynor,False,https://cdn.nba.com/headshots/nba/latest/1040x760/201953.png
2815,201564,Mayo,O.J.,O.J. Mayo,False,https://cdn.nba.com/headshots/nba/latest/1040x760/201564.png
2816,1630219,Mays,Skylar,Skylar Mays,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1630219.png
2817,77496,Mays,Travis,Travis Mays,False,https://cdn.nba.com/headshots/nba/latest/1040x760/77496.png
2818,77497,Mazza,Matt,Matt Mazza,False,https://cdn.nba.com/headshots/nba/latest/1040x760/77497.png
2819,201601,Mbah a Moute,Luc,Luc Mbah a Moute,False,https://cdn.nba.com/headshots/nba/latest/1040x760/201601.png
2820,2788,Mbenga,DJ,DJ Mbenga,False,https://cdn.nba.com/headshots/nba/latest/1040x760/2788.png
