,ID,TEAM,JERSEY_NUM,POSITION,COUNTRY,AGE,BD_YEAR,BD_MONTH,BD_DAY,EXPERIENCE
385,203086,Milwaukee Bucks,3.0,Forward-Center,USA,,1992.0,FEBRUARY,27.0,11
386,1630264,Washington Wizards,16.0,Forward,USA,31.0,1992.0,OCTOBER,17.0,3
387,1629308,Utah Jazz,95.0,Forward,USA,,1993.0,APRIL,10.0,5
388,1630219,Portland Trail Blazers,4.0,Guard,USA,26.0,1997.0,SEPTEMBER,5.0,3
389,1631222,Memphis Grizzlies,3.0,Forward,USA,21.0,2001.0,NOVEMBER,3.0,1
390,1641718,Utah Jazz,3.0,Guard,USA,19.0,2003.0,NOVEMBER,8.0,Rookie
391,201599,Denver Nuggets,6.0,Center,USA,35.0,1988.0,JULY,21.0,15
392,1630533,Memphis Grizzlies,8.0,Forward,USA,22.0,2001.0,SEPTEMBER,12.0,2
393,1629723,Memphis Grizzlies,46.0,Guard,USA,27.0,1996.0,MARCH,22.0,4
394,1631254,Memphis Grizzlies,6.0,Forward,USA,21.0,2002.0,AUGUST,14.0,1
395,1631115,Miami Heat,25.0,Center,USA,23.0,2000.0,JULY,10.0,1
396,202083,Atlanta Hawks,23.0,Guard,USA,37.0,1986.0,OCTOBER,14.0,14
397,1630561,Philadelphia 76ers,28.0,Guard,USA,24.0,1999.0,OCTOBER,13.0,2
398,1630539,Charlotte Hornets,23.0,Center-Forward,Bahamas,,2001.0,JANUARY,19.0,3
399,1631121,Charlotte Hornets,7.0,Guard,USA,20.0,2002.0,NOVEMBER,8.0,1
400,1628962,Phoenix Suns,20.0,Center-Forward,Nigeria,24.0,1999.0,SEPTEMBER,17.0,3
401,0000000000,,,,,,,,,
402,1630547,Charlotte Hornets,2.0,Guard,USA,23.0,2000.0,SEPTEMBER,18.0,2
403,1629717,Brooklyn Nets,13.0,Guard,USA,25.0,1998.0,JUNE,5.0,2
404,1631108,Los Angeles Lakers,10.0,Guard,USA,20.0,2003.0,FEBRUARY,10.0,1
405,1641645,Washington Wizards,12.0,Forward,Australia,28.0,1995.0,AUGUST,19.0,1
406,1631111,Minnesota Timberwolves,7.0,Guard,USA,22.0,2001.0,SEPTEMBER,18.0,1
407,1630554,LA Clippers,17.0,Guard,USA,,1999.0,AUGUST,10.0,2
408,1631133,Portland Trail Blazers,34.0,Forward,USA,21.0,2002.0,JULY,30.0,1
409,1631212,Denver Nuggets,8.0,Guard,USA,21.0,2002.0,SEPTEMBER,11.0,1
410,1629677,Utah Jazz,19.0,Forward,Croatia,23.0,2000.0,JANUARY,9.0,3
